Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Food and Cantines,"2. ""I wish there were more vegan options in the cafeteria.""",18,4.49,3,1,F,Indonesia
Food and Cantines,"3. ""The sandwiches available in the cantine are always stale.""",23,2.19,3,1,F,Indonesia
Food and Cantines,"4. ""The food on campus is great, but the cantine is always crowded during lunchtime.""",18,4.14,3,1,F,Indonesia
Food and Cantines,"5. ""The vegetarian options in the cafeteria are delicious!""",22,1.39,1,1,F,Indonesia
Food and Cantines,"6. ""The pizza available in the cantine is terrible.""",21,1.67,5,1,F,Indonesia
Food and Cantines,"7. ""The coffee in the cafeteria is always lukewarm.""",19,2.76,2,1,F,Indonesia
Food and Cantines,"8. ""The portions served in the cafeteria are too small for the price.""",19,2.71,3,1,F,Indonesia
Food and Cantines,"9. ""The sandwiches in the cafeteria are always made with stale bread.""",18,4.82,1,1,F,Indonesia
Food and Cantines,"10. ""The cantine should offer more gluten-free options.""",18,2.74,4,1,F,Indonesia
Food and Cantines,"11. ""The salad bar in the cafeteria is always fresh and delicious.""",21,3.95,1,1,F,Indonesia
Food and Cantines,"12. ""The pastries in the cantine are always stale and tasteless.""",22,3.81,3,1,F,Indonesia
Food and Cantines,"13. ""The fruit options in the cafeteria are limited and often not ripe.""",19,1.15,5,1,F,Indonesia
Food and Cantines,"14. ""The cafeteria should offer more international cuisine options.""",23,3.88,1,1,F,Indonesia
Food and Cantines,"15. ""The cantine is always closed during the weekends, which is inconvenient.""",19,4.15,1,1,F,Indonesia
Food and Cantines,"16. ""The burgers in the cafeteria are always overcooked.""",19,1.87,1,1,F,Indonesia
Food and Cantines,"17. ""The drinks available in the cantine are overpriced.""",23,2.29,3,1,F,Indonesia
Food and Cantines,"18. ""The cafeteria should offer more healthy options.""",21,2.1,2,1,F,Indonesia
Food and Cantines,"19. ""The chips available in the cantine are always stale and overpriced.""",22,4.51,4,1,F,Indonesia
Food and Cantines,"20. ""The staff in the cafeteria is always friendly and helpful.""",20,2.13,4,1,F,Indonesia
Food and Cantines,"21. ""The cantine should offer more vegetarian options.""",18,4.4,3,1,F,Indonesia
Food and Cantines,"22. ""The pasta in the cafeteria is always overcooked and bland.""",19,3.04,2,1,F,Indonesia
Food and Cantines,"23. ""The prices at the cantine are too high for the quality of the food.""",22,4.85,1,1,F,Indonesia
Food and Cantines,"24. ""The selection of snacks in the cafeteria is limited.""",21,1.49,5,1,F,Indonesia
Food and Cantines,"25. ""The cantine should offer more options for people with food allergies.""",20,3.63,5,1,F,Indonesia
